Code	Name	Active	Emolument	Notify	Print	Online	Category	Processors	language	documentPurposeType	otherDocumentPurpose	isDetailed	isUrgent	cycleType	programConclusion	numberOfUnits	numberOfDays	numberOfPages	executionYear	curricularPlan	approvedExtraCurriculum	approvedStandaloneCurriculum	approvedEnrolments	curriculum	enrolmentsByYear
ENROLMENT_DECLARATION	"{""pt-PT"":""Declaração de Inscrição"",""en-GB"":""Enrolment Declaration""}"	Y	N	N	Y	Y	DECLARATIONS	Adicionar UCs do Ano Lectivo ao Pedido || Processador Automático dos Pedidos Online	Y/Y/1	Y/N/2	Y/N/3	Y/Y/4	0	0	0	0	0	0	0	0	0	0	0	0	0
SCHOOL_REGISTRATION_DECLARATION	"{""pt-PT"":""Declaração de Matrícula"",""en-GB"":""Registration Declaration""}"	Y	N	N	Y	Y	DECLARATIONS	Processador Automático dos Pedidos Online	Y/Y/1	Y/N/2	Y/N/3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIPLOMA_REQUEST	"{""pt-PT"":""Carta de Curso"",""en-GB"":""Carta de Curso""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	Y/Y/2	0	0	0	0	0	0	0	0	0	0
APPROVEMENT_MOBILITY_CERTIFICATE	"{""pt-PT"":""Certidão de Aproveitamento"",""en-GB"":""Approvement Certificate""}"	Y	Y	N	N	N	CERTIFICATES	Adicionar UCs Aprovadas ao Pedido	Y/Y/1	0	0	0	Y/Y/3	0	Y/Y/2	0	0	0	0	0	0	0	0	0	0
CERTIDAO_APROVEITAMENTO_ESCOLAR_TRANSICAO_ANO	"{""pt-PT"":""Certidão de Aproveitamento Escolar - Transição de Ano"",""en-GB"":""Academic achievement - Year transition Certificate""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEGREE_FINALIZATION_CERTIFICATE	"{""pt-PT"":""Certidão de Conclusão"",""en-GB"":""Conclusion Certificate""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	Y/Y/3	Y/Y/4	0	Y/Y/2	0	0	0	0	0	0	0	0	0	0
CERTIDAO_FREQUENCIA_EXAME	"{""pt-PT"":""Certidão de Frequência"",""en-GB"":""Attendance Certificate""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENROLMENT_CERTIFICATE	"{""pt-PT"":""Certidão de Inscrição"",""en-GB"":""Enrolment Certificate""}"	Y	Y	Y	Y	Y	CERTIFICATES	Adicionar UCs do Ano Lectivo ao Pedido	Y/Y/2	Y/N/3	Y/N/4	Y/Y/5	Y/Y/6	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
SCHOOL_REGISTRATION_CERTIFICATE	"{""pt-PT"":""Certidão de Matrícula"",""en-GB"":""Registration Certificate""}"	Y	Y	Y	Y	Y	CERTIFICATES		Y/Y/2	Y/N/3	Y/N/4	0	Y/Y/5	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
REGISTRY_DIPLOMA_REQUEST	"{""pt-PT"":""Certidão de Registo"",""en-GB"":""Registry Certificate""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	Y/Y/2	0	0	0	0	0	0	0	0	0	0
CERTIDAO_REGISTO_2_VIA	"{""pt-PT"":""Certidão de Registo – 2ª Via"",""en-GB"":""Registry Certificate – 2nd Copy""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	Y/Y/2	0	0	0	0	0	0	0	0	0	0
PROGRAM_CERTIFICATE	"{""pt-PT"":""Certificado de cargas horárias e conteúdos programáticos"",""en-GB"":""Program & course load certificate""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	Y/Y/3	0	Y/Y/2	0	0	0	0	0	0	0	0	Y/Y/4	0
